customer_id,loan_amount_ngn,tenure_months,interest_rate,age,gender,employment_status,monthly_income_ngn,residence_type,bureau_score,existing_loans_count,debt_to_income_ratio,mobile_phone_usage_days,savings_balance_ngn,loan_purpose,region,application_channel,default_target
CUST000027,9125,12,0.307,33,M,Self-employed,33344,Owned,78,0,0.007,1203,9341,Education,South-West,Online,0
CUST000028,57001,12,0.332,65,M,Self-employed,71791,Rented,78,0,0.022,948,7005,Business,North-West,Online,0
CUST000029,17663,3,0.193,24,F,Employed,59516,Owned,127,2,0.019,209,17555,Emergency,North-Central,Branch,0
CUST000030,25590,12,0.338,62,M,Employed,25498,Rented,224,5,0.028,1649,17058,Business,South-East,Online,0
CUST000031,17640,24,0.247,30,F,Self-employed,38271,Owned,227,2,0.005,38,24920,Consumer,North-Central,Online,0
CUST000032,335284,3,0.337,70,M,Self-employed,82344,Rented,9,3,0.457,1154,10432,Education,North-Central,Online,1
CUST000033,35732,6,0.193,68,M,Employed,717635,Family,539,3,0.002,1239,20936,Business,South-East,Online,0
CUST000034,10206,6,0.302,67,M,Employed,18486,Family,211,0,0.028,1514,16002,Business,North-Central,Agent,0
CUST000035,97446,12,0.305,46,M,Employed,58699,Rented,197,0,0.042,199,4172,Emergency,South-South,Online,0
CUST000036,8391,12,0.349,56,F,Employed,39963,Rented,521,2,0.006,143,5589,Medical,South-East,Branch,0
CUST000037,46659,3,0.311,37,M,Employed,111876,Rented,49,0,0.043,941,1428,Emergency,South-South,Online,0
CUST000038,3457,12,0.245,67,F,Self-employed,113644,Family,621,0,0.001,1084,18500,Emergency,North-West,Agent,0
CUST000039,7377,3,0.275,46,M,Employed,13979,Rented,174,0,0.048,530,12729,Business,North-Central,Online,0
CUST000040,45992,12,0.242,35,M,Employed,72512,Family,238,0,0.013,1747,3039,Consumer,North-Central,Online,0
CUST000041,88094,6,0.213,39,Other,Self-employed,6097,Family,176,4,0.513,877,4401,Education,South-South,Online,0
CUST000042,44606,6,0.222,53,M,Self-employed,207906,Rented,226,3,0.008,840,1187,Business,North-Central,Agent,0
CUST000043,31609,3,0.218,58,M,Self-employed,9033,Owned,255,2,0.254,1532,60439,Business,South-South,Online,0
CUST000044,25302,3,0.273,70,M,Employed,21954,Family,429,2,0.105,1644,29331,Business,North-Central,Online,0
CUST000045,6159,12,0.334,65,M,Employed,97059,Rented,173,0,0.002,1706,13898,Emergency,South-West,Branch,0
CUST000046,15308,12,0.335,53,F,Self-employed,29118,Owned,256,0,0.015,1777,2720,Emergency,North-East,Branch,0
CUST000047,20894,3,0.189,25,F,Employed,90142,Rented,507,0,0.015,1791,7960,Business,South-West,Agent,0
CUST000048,129126,3,0.194,20,F,Self-employed,438686,Rented,143,1,0.019,464,6420,Emergency,South-West,Online,0
CUST000049,54849,3,0.222,46,F,Employed,194784,Rented,602,0,0.021,1283,13178,Emergency,North-Central,Agent,0
CUST000050,4378,12,0.223,26,M,Self-employed,35213,Rented,52,1,0.002,521,2871,Emergency,North-Central,Online,0
CUST000051,53578,12,0.196,25,M,Employed,46543,Rented,244,0,0.019,673,806,Education,North-East,Online,0
CUST000052,22877,3,0.246,47,F,Employed,16169,Owned,225,1,0.116,1207,2484,Emergency,South-West,Online,0
CUST000053,16118,12,0.28,29,F,Employed,190190,Rented,485,1,0.002,1233,4113,Emergency,South-South,Agent,0
CUST000054,75660,3,0.278,63,F,Self-employed,103971,Family,143,0,0.067,1373,13591,Emergency,South-South,Online,0
CUST000055,125141,24,0.272,45,M,Employed,24108,Owned,287,1,0.059,1366,12955,Emergency,South-West,Online,0
CUST000056,111027,24,0.238,59,M,Employed,85477,Rented,56,1,0.013,1153,1402,Consumer,South-East,Branch,0
CUST000057,13265,12,0.3,70,F,Self-employed,10803,Owned,349,0,0.031,1206,3110,Business,North-West,Online,0
CUST000058,25057,24,0.321,66,M,Employed,89278,Owned,135,0,0.004,1344,1517,Education,South-East,Agent,0
CUST000059,54041,12,0.239,60,F,Self-employed,246542,Rented,166,1,0.004,1467,28937,Education,North-Central,Online,0
CUST000060,117084,12,0.195,27,M,Self-employed,132172,Owned,269,0,0.014,702,148044,Emergency,North-Central,Agent,0
CUST000061,20434,12,0.23,30,F,Employed,81691,Family,577,2,0.005,434,9707,Emergency,North-West,Online,0
CUST000062,29062,6,0.203,19,Other,Employed,191957,Family,206,0,0.005,1795,57837,Business,North-West,Branch,0
CUST000063,9627,6,0.259,18,F,Employed,36980,Owned,187,0,0.011,1396,25770,Emergency,South-South,Agent,0
CUST000064,8643,6,0.207,39,F,Self-employed,5574,Family,545,4,0.053,1518,18391,Medical,North-West,Online,0
CUST000065,96281,12,0.259,50,F,Self-employed,276742,Owned,211,1,0.008,771,485,Education,South-West,Online,0
CUST000066,184884,3,0.218,33,F,Self-employed,159294,Owned,392,1,0.084,466,5302,Business,South-South,Branch,0
CUST000067,33309,6,0.306,59,F,Employed,87343,Rented,753,2,0.019,825,5202,Business,South-West,Agent,0
CUST000068,121083,6,0.185,46,M,Employed,67400,Rented,390,0,0.055,1401,939,Business,South-West,Agent,0
CUST000069,56047,6,0.274,27,M,Employed,149397,Rented,119,1,0.017,1101,18110,Business,North-Central,Agent,0
CUST000070,16745,12,0.209,56,F,Self-employed,149173,Owned,366,0,0.002,1336,10377,Medical,South-West,Agent,0
CUST000071,56031,24,0.18,24,F,Unemployed,50047,Family,440,0,0.008,137,1714,Emergency,South-East,Branch,0
CUST000072,229956,12,0.328,18,F,Self-employed,254499,Family,192,0,0.025,510,1456,Education,South-West,Agent,0
CUST000073,34787,12,0.294,43,F,Self-employed,141165,Family,613,0,0.006,514,5939,Business,North-Central,Agent,0
CUST000074,237416,12,0.197,62,F,Employed,31564,Owned,218,0,0.123,1190,100091,Emergency,South-South,Online,0
CUST000075,1566,6,0.293,22,M,Employed,762651,Rented,183,0,0,879,9806,Education,South-South,Branch,0
CUST000076,97370,3,0.284,52,F,Employed,25580,Rented,122,0,0.36,1331,29955,Business,North-Central,Agent,0
CUST000077,40314,12,0.26,30,F,Self-employed,7035,Family,275,0,0.124,1385,2445,Emergency,South-West,Online,0
CUST000078,25366,6,0.251,44,F,Employed,14038,Rented,452,1,0.076,1117,9318,Education,South-West,Online,0
CUST000079,40542,3,0.331,29,M,Self-employed,223320,Rented,668,0,0.02,1004,36211,Business,South-East,Branch,0
CUST000080,3343,12,0.222,47,M,Self-employed,234091,Owned,246,0,0,1058,95181,Business,North-West,Branch,0
CUST000081,27900,3,0.248,67,M,Self-employed,20913,Family,281,0,0.11,339,22762,Emergency,South-West,Online,0
CUST000082,55744,6,0.236,49,M,Employed,31385,Owned,359,0,0.07,741,1569,Emergency,North-Central,Agent,0
CUST000083,213944,3,0.311,48,M,Employed,31749,Owned,297,2,0.699,1095,48276,Business,North-West,Online,0
CUST000084,19498,3,0.336,22,M,Self-employed,153650,Family,164,1,0.014,997,13128,Emergency,North-East,Online,0
CUST000085,13763,3,0.324,54,F,Self-employed,16444,Owned,216,1,0.09,832,2514,Education,South-South,Branch,0
CUST000086,19888,3,0.316,19,M,Employed,177255,Owned,16,0,0.012,869,8263,Consumer,North-West,Branch,0
CUST000087,108932,12,0.348,55,F,Employed,73925,Owned,478,3,0.043,408,33249,Education,South-South,Online,0
CUST000088,53879,12,0.299,24,F,Employed,33020,Owned,237,0,0.041,919,54689,Medical,North-Central,Agent,0
CUST000089,19231,6,0.308,18,F,Employed,36968,Rented,517,0,0.027,810,9912,Business,South-West,Online,0
CUST000090,67233,12,0.347,20,M,Unemployed,46567,Rented,243,0,0.042,1204,13698,Business,South-South,Online,0
CUST000091,40802,6,0.181,37,M,Self-employed,47617,Owned,612,0,0.026,1714,65987,Consumer,North-Central,Agent,0
CUST000092,116119,6,0.288,19,F,Employed,28242,Owned,419,0,0.197,1792,8802,Education,South-East,Online,0
CUST000093,15639,3,0.306,59,F,Self-employed,602746,Rented,556,1,0.003,1152,3826,Business,North-West,Agent,0
CUST000094,24509,12,0.336,60,M,Employed,113175,Rented,307,0,0.006,541,1779,Emergency,South-East,Branch,0
CUST000095,22685,6,0.33,38,M,Employed,163334,Rented,522,0,0.008,1345,7668,Emergency,North-Central,Agent,0
CUST000096,6271,12,0.323,62,F,Employed,70989,Owned,532,0,0.002,844,7895,Business,North-Central,Online,0
CUST000097,51810,12,0.341,49,F,Self-employed,82694,Rented,80,0,0.018,872,20777,Business,South-South,Online,0
CUST000098,49675,12,0.271,65,F,Self-employed,42614,Rented,190,3,0.026,251,4601,Emergency,South-South,Agent,0
CUST000099,36539,12,0.181,37,F,Employed,208609,Rented,480,0,0.003,32,838,Emergency,North-West,Online,0
CUST000100,27405,24,0.182,60,M,Employed,66020,Rented,168,1,0.003,772,1747,Business,South-South,Online,0
CUST000101,6644,6,0.273,67,F,Employed,28899,Owned,288,1,0.01,931,87330,Business,North-Central,Online,0
CUST000102,21921,6,0.254,48,M,Employed,3180,Family,226,2,0.292,728,37554,Emergency,North-West,Online,0
CUST000103,24070,12,0.257,60,M,Employed,22999,Rented,376,1,0.022,1674,49577,Business,North-Central,Online,0
CUST000104,13867,12,0.248,50,F,Employed,49802,Rented,526,0,0.006,218,2303,Business,South-South,Branch,0
CUST000105,29925,3,0.336,41,M,Employed,63792,Rented,465,2,0.053,1698,5632,Business,North-East,Branch,0
CUST000106,58974,6,0.241,35,M,Self-employed,16586,Rented,64,0,0.143,1084,24716,Business,South-West,Online,0
CUST000107,349208,6,0.326,37,F,Employed,5637,Rented,645,0,0.8,1776,1114,Emergency,South-East,Online,0
CUST000108,44778,6,0.333,49,M,Employed,684724,Rented,318,1,0.004,110,728,Business,South-West,Agent,0
CUST000109,49466,3,0.265,22,M,Employed,60117,Rented,547,3,0.073,710,1520,Business,North-Central,Agent,0
CUST000110,33211,24,0.256,19,M,Employed,42005,Owned,169,1,0.008,186,3296,Emergency,North-Central,Online,0
CUST000111,3631,12,0.309,43,F,Employed,74093,Owned,456,5,0.001,1078,30814,Education,South-South,Online,0
CUST000112,35178,6,0.3,42,M,Self-employed,18473,Owned,353,2,0.095,225,13322,Education,South-West,Branch,0
CUST000113,39037,12,0.236,67,F,Employed,199109,Rented,441,2,0.004,381,19325,Business,North-East,Branch,0
CUST000114,697941,12,0.197,39,F,Employed,35341,Owned,56,1,0.324,957,4354,Business,South-West,Online,0
CUST000115,28829,3,0.225,56,F,Employed,26971,Owned,87,0,0.08,1543,1494,Emergency,North-East,Online,0
CUST000116,52148,6,0.202,39,M,Employed,31152,Family,512,0,0.056,442,8315,Business,South-West,Online,0
CUST000117,34833,12,0.23,28,F,Employed,28529,Owned,424,1,0.023,1522,4530,Business,North-West,Branch,0
CUST000118,8933,12,0.225,28,F,Self-employed,17344,Rented,201,0,0.01,383,4852,Medical,South-South,Agent,0
CUST000119,143112,3,0.288,62,F,Employed,97263,Rented,287,2,0.141,1512,18608,Medical,South-South,Online,0
CUST000120,89529,24,0.342,21,M,Employed,113691,Rented,344,0,0.011,1499,9138,Education,South-South,Online,0
CUST000121,93829,6,0.297,50,M,Employed,14092,Rented,86,1,0.33,1126,3853,Consumer,South-South,Agent,0
CUST000122,12194,6,0.338,35,M,Self-employed,44378,Rented,156,0,0.015,1696,8203,Emergency,North-Central,Branch,0
CUST000123,195507,6,0.313,48,F,Employed,69352,Owned,206,4,0.147,1485,2104,Education,North-West,Online,0
CUST000124,6753,3,0.304,61,M,Employed,34218,Owned,692,0,0.02,769,2834,Business,South-West,Agent,0
CUST000125,73440,12,0.25,45,M,Employed,144268,Rented,409,0,0.011,112,5368,Emergency,South-East,Online,0
CUST000126,503101,24,0.235,59,M,Employed,332064,Rented,273,1,0.015,1155,1131,Business,North-East,Online,0
CUST000127,11062,6,0.324,39,M,Employed,100677,Rented,298,0,0.006,1033,14921,Education,North-West,Online,0
CUST000128,18406,24,0.334,57,M,Employed,59956,Family,95,1,0.004,596,1011,Business,South-South,Online,0
CUST000129,40928,12,0.257,20,M,Employed,25788,Rented,266,0,0.034,1554,1889,Emergency,South-South,Branch,0
CUST000130,19847,6,0.182,24,F,Employed,11939,Owned,109,3,0.05,1589,3765,Education,North-East,Branch,0
CUST000131,5648,12,0.315,37,F,Employed,24863,Rented,25,1,0.006,1040,10234,Education,South-East,Online,0
CUST000132,39429,6,0.228,60,F,Self-employed,135034,Owned,343,0,0.011,339,6190,Business,North-East,Agent,0
CUST000133,10150,12,0.182,24,M,Self-employed,20290,Owned,240,0,0.008,1088,248,Business,North-West,Branch,0
CUST000134,64107,3,0.317,24,M,Self-employed,232368,Rented,320,1,0.029,473,2870,Education,South-South,Agent,0
CUST000135,12048,12,0.268,46,M,Employed,39083,Family,176,0,0.007,1027,50370,Business,South-East,Agent,0
CUST000136,233262,3,0.296,43,M,Self-employed,17124,Owned,218,3,0.8,340,14590,Business,South-South,Online,1
CUST000137,14187,12,0.335,58,F,Self-employed,76291,Rented,229,1,0.005,768,1720,Emergency,South-West,Online,0
CUST000138,24674,12,0.272,20,M,Employed,22890,Rented,313,1,0.024,42,3791,Business,South-East,Online,0
CUST000139,96396,6,0.266,60,F,Employed,154392,Family,167,0,0.028,128,22519,Business,North-Central,Branch,0
CUST000140,8291,6,0.229,34,M,Employed,24409,Rented,93,0,0.013,488,4070,Education,North-Central,Online,0
CUST000141,47712,6,0.232,57,F,Unemployed,6410,Rented,224,0,0.288,1655,2180,Business,South-South,Branch,0
CUST000142,174306,12,0.315,37,F,Employed,33579,Owned,539,0,0.136,684,2736,Education,South-West,Agent,0
CUST000143,5276,6,0.256,51,F,Employed,10484,Rented,39,1,0.021,986,11171,Education,North-Central,Branch,0
CUST000144,45322,12,0.208,70,M,Self-employed,140893,Rented,203,0,0.006,811,12292,Business,North-West,Branch,0
CUST000145,49605,6,0.196,69,M,Self-employed,187884,Rented,84,2,0.009,1084,37527,Business,South-East,Branch,0
CUST000146,92798,3,0.26,50,F,Employed,31591,Rented,300,1,0.255,1462,10278,Education,North-East,Branch,0
CUST000147,8230,3,0.259,33,M,Self-employed,332721,Owned,177,1,0.002,218,17000,Emergency,South-East,Agent,0
CUST000148,7446,3,0.291,40,F,Employed,23691,Owned,332,0,0.03,1193,4516,Medical,South-South,Branch,0
CUST000149,67936,12,0.26,21,M,Unemployed,42381,Owned,211,1,0.035,475,2700,Emergency,South-South,Agent,0
CUST000150,51864,24,0.204,58,M,Employed,18166,Rented,207,3,0.024,983,2237,Education,South-South,Online,0
CUST000151,49049,6,0.266,57,M,Employed,9435,Family,92,0,0.23,608,5674,Education,North-Central,Agent,0
CUST000152,55035,12,0.334,50,F,Employed,90425,Rented,524,0,0.017,169,4403,Emergency,South-South,Branch,0
CUST000153,16058,3,0.207,25,F,Self-employed,310642,Owned,142,1,0.004,729,1665,Business,North-Central,Online,0
CUST000154,47987,12,0.297,22,M,Self-employed,36432,Rented,178,0,0.033,626,2783,Medical,North-West,Online,0
CUST000155,51621,3,0.281,50,F,Employed,60057,Rented,685,1,0.081,1275,90546,Emergency,South-West,Agent,0
CUST000156,15410,12,0.307,42,M,Employed,15152,Rented,43,0,0.026,1279,2485,Business,South-South,Online,0
CUST000157,340758,24,0.206,24,F,Employed,31655,Rented,74,0,0.092,287,6117,Business,North-West,Online,1
CUST000158,64125,3,0.34,64,M,Employed,11032,Rented,384,0,0.659,472,231,Business,North-East,Online,0
CUST000159,8694,12,0.286,24,M,Self-employed,310679,Rented,409,1,0.001,663,4532,Medical,North-West,Agent,0
CUST000160,79846,3,0.324,50,M,Employed,15981,Family,292,0,0.54,996,28014,Business,North-Central,Agent,0
CUST000161,11275,6,0.222,58,F,Employed,59771,Family,166,2,0.007,1155,4866,Education,North-West,Branch,0
CUST000162,93386,3,0.306,50,F,Self-employed,341689,Owned,369,0,0.028,1728,2201,Medical,South-South,Online,0
CUST000163,145847,6,0.313,46,M,Employed,67894,Rented,599,0,0.112,876,2027,Consumer,South-West,Agent,0
CUST000164,13564,3,0.248,61,F,Employed,53439,Family,218,0,0.021,473,14347,Business,North-West,Online,0
CUST000165,115387,6,0.245,56,F,Employed,85147,Rented,384,2,0.055,1391,27420,Emergency,North-Central,Online,0
CUST000166,59595,6,0.292,58,M,Self-employed,14638,Owned,326,0,0.198,1248,184854,Emergency,South-East,Agent,0
CUST000167,97389,6,0.196,49,M,Employed,8068,Rented,633,1,0.394,258,218,Consumer,South-West,Online,0
CUST000168,353681,12,0.305,54,F,Employed,77381,Owned,297,1,0.116,734,2962,Education,North-East,Branch,0
CUST000169,27052,24,0.187,61,F,Employed,68448,Owned,232,2,0.003,1788,8317,Business,South-East,Branch,0
CUST000170,14698,6,0.212,46,M,Self-employed,84384,Owned,367,4,0.006,1431,25866,Medical,South-East,Branch,0
CUST000171,12488,3,0.293,39,F,Self-employed,3693,Family,64,0,0.33,1679,43571,Medical,South-South,Agent,0
CUST000172,13643,6,0.197,19,F,Employed,13632,Rented,184,0,0.033,216,3047,Business,South-South,Online,0
CUST000173,33106,12,0.345,67,F,Self-employed,67981,Family,67,1,0.014,521,4741,Education,South-East,Branch,0
CUST000174,54687,12,0.328,26,Other,Employed,49791,Family,287,0,0.03,974,3753,Consumer,South-South,Online,0
CUST000175,50616,6,0.286,46,M,Employed,162250,Family,165,0,0.015,293,13083,Emergency,North-Central,Online,0
CUST000176,97989,3,0.319,50,F,Employed,83386,Rented,589,0,0.125,1639,24967,Education,South-South,Online,0
CUST000177,36886,6,0.331,27,M,Self-employed,222435,Rented,229,0,0.009,945,30612,Emergency,North-Central,Branch,0
CUST000178,207781,6,0.224,45,F,Employed,207288,Rented,321,2,0.037,1707,12422,Business,North-Central,Agent,0
CUST000179,26434,24,0.324,63,M,Self-employed,117371,Owned,77,1,0.003,1289,2040,Business,South-West,Online,0
CUST000180,949986,12,0.213,70,F,Employed,52902,Rented,262,0,0.319,250,17704,Business,South-West,Online,0
CUST000181,76941,3,0.25,63,M,Self-employed,85693,Family,59,0,0.075,1007,160967,Business,North-West,Online,0
CUST000182,12983,12,0.275,56,M,Employed,95835,Family,200,0,0.003,709,44633,Emergency,South-East,Agent,0
CUST000183,10045,6,0.301,29,M,Self-employed,223973,Owned,105,0,0.002,1258,2505,Business,South-East,Agent,0
CUST000184,64793,6,0.185,39,F,Employed,40496,Owned,578,3,0.049,1227,28360,Education,South-West,Branch,0
CUST000185,27773,12,0.229,23,F,Employed,95312,Family,355,1,0.006,899,243497,Business,South-East,Branch,0
CUST000186,85545,12,0.283,62,F,Employed,12920,Owned,375,0,0.156,1284,62525,Emergency,South-West,Online,0
CUST000187,64079,6,0.241,57,F,Employed,39430,Family,135,3,0.065,1746,2948,Emergency,North-Central,Online,0
CUST000188,33276,6,0.312,40,M,Self-employed,77037,Rented,441,3,0.022,1172,4594,Business,South-West,Branch,0
CUST000189,13145,12,0.291,70,M,Employed,90802,Family,96,0,0.004,915,15490,Emergency,North-West,Agent,0
CUST000190,5896,12,0.22,51,M,Employed,118824,Family,298,0,0.001,1307,2528,Emergency,North-East,Online,0
CUST000191,21251,6,0.205,59,F,Employed,27111,Rented,545,3,0.027,169,7305,Education,North-East,Online,0
CUST000192,101486,6,0.287,55,F,Self-employed,63592,Owned,254,2,0.076,240,7909,Emergency,South-West,Online,0
CUST000193,46953,6,0.257,33,F,Employed,34584,Owned,365,0,0.058,1581,12822,Business,North-East,Agent,0
CUST000194,8144,24,0.209,27,M,Employed,453138,Rented,420,0,0,143,3445,Medical,North-West,Online,0
CUST000195,44703,12,0.235,64,F,Self-employed,11418,Owned,517,1,0.077,1369,158605,Business,South-West,Agent,0
CUST000196,57663,6,0.232,38,F,Self-employed,620445,Family,224,2,0.004,862,5309,Business,North-Central,Online,0
CUST000197,12573,12,0.198,69,F,Self-employed,125855,Owned,465,0,0.002,932,56209,Education,South-West,Branch,0
CUST000198,43672,12,0.273,27,F,Employed,3080,Rented,300,1,0.322,727,39627,Business,North-East,Online,0
CUST000199,38942,6,0.31,28,M,Employed,34611,Rented,562,0,0.058,124,8665,Business,North-West,Branch,0
CUST000200,9213,3,0.278,38,M,Self-employed,78452,Family,620,0,0.011,986,563,Business,North-East,Online,0
CUST000201,55789,12,0.32,42,Other,Self-employed,56751,Family,214,1,0.026,381,4301,Emergency,South-West,Online,0
CUST000202,71178,12,0.202,51,M,Self-employed,10135,Rented,257,3,0.118,1414,8590,Emergency,South-East,Branch,0
CUST000203,133207,12,0.254,48,M,Employed,16728,Rented,224,1,0.169,860,28743,Business,North-Central,Online,0
CUST000204,128612,12,0.284,44,M,Self-employed,68271,Rented,34,1,0.045,1775,4530,Business,South-West,Online,0
CUST000205,6952,6,0.295,42,F,Self-employed,12981,Rented,207,1,0.026,1746,4146,Medical,South-West,Online,0
CUST000206,11785,3,0.298,59,F,Self-employed,150067,Family,113,0,0.008,1358,5129,Consumer,North-Central,Online,0
CUST000207,67375,24,0.304,49,M,Employed,44661,Rented,238,1,0.019,581,11493,Emergency,North-East,Agent,0
CUST000208,67274,6,0.291,70,F,Employed,114810,Family,213,0,0.028,618,14939,Emergency,North-West,Online,0
CUST000209,67376,12,0.196,61,F,Employed,17798,Rented,178,1,0.062,105,4318,Consumer,South-West,Agent,0
CUST000210,3697907,12,0.298,28,M,Self-employed,13480,Family,179,1,0.8,453,4295,Business,South-West,Branch,1
CUST000211,72046,12,0.303,64,F,Employed,186515,Rented,288,0,0.01,289,4234,Emergency,South-South,Online,0
CUST000212,141871,6,0.349,43,F,Self-employed,55713,Family,76,1,0.148,1666,11117,Education,North-West,Online,0
CUST000213,114096,12,0.298,53,M,Employed,9717,Owned,322,2,0.292,1262,43362,Business,South-South,Online,0
CUST000214,79353,12,0.297,54,M,Employed,23931,Rented,409,0,0.082,118,118755,Medical,South-West,Online,0
CUST000215,24876,12,0.268,50,M,Employed,74590,Family,720,2,0.007,204,12840,Emergency,South-South,Online,0
CUST000216,90288,6,0.328,50,F,Unemployed,11790,Owned,499,1,0.419,1553,10030,Business,South-South,Agent,0
CUST000217,14365,3,0.349,59,M,Self-employed,2619,Family,86,1,0.638,702,16338,Medical,North-Central,Branch,0
CUST000218,27332,3,0.312,53,F,Employed,11406,Owned,223,2,0.249,1174,56805,Business,South-South,Agent,0
CUST000219,20283,6,0.284,30,F,Employed,140734,Family,328,0,0.007,643,242,Consumer,South-West,Agent,0
CUST000220,40064,6,0.193,31,M,Employed,8803,Owned,178,0,0.146,1660,1532,Business,South-West,Agent,0
CUST000221,583961,24,0.304,68,M,Employed,171379,Rented,429,1,0.043,1038,49391,Education,South-South,Branch,0
CUST000222,3863,12,0.3,54,M,Employed,81025,Owned,315,0,0.001,950,2461,Business,South-West,Online,0
CUST000223,82744,12,0.312,60,M,Employed,26254,Owned,654,1,0.082,694,6656,Business,South-South,Online,0
CUST000224,5243,12,0.201,57,M,Self-employed,212523,Rented,444,2,0,100,11969,Emergency,South-West,Online,0
CUST000225,20613,3,0.291,18,M,Employed,13524,Owned,203,0,0.148,1415,7744,Consumer,South-West,Agent,0
CUST000226,134153,24,0.23,22,F,Self-employed,30092,Rented,339,1,0.043,422,5013,Business,South-South,Branch,0
CUST000227,39227,6,0.309,47,M,Employed,54719,Rented,49,0,0.037,788,999,Business,South-East,Agent,0
CUST000228,9963,3,0.221,70,F,Employed,35972,Family,271,1,0.02,1429,2635,Consumer,North-West,Branch,0
CUST000229,15392,6,0.296,35,M,Self-employed,63066,Rented,434,3,0.012,1685,22244,Emergency,South-South,Online,0
CUST000230,82085,12,0.23,62,F,Employed,112124,Rented,212,0,0.014,448,8349,Education,South-West,Online,0
CUST000231,15116,12,0.182,54,F,Employed,30141,Owned,171,0,0.008,324,48594,Business,South-West,Online,0
CUST000232,47086,3,0.288,56,M,Employed,304080,Owned,592,0,0.015,1191,20043,Emergency,North-West,Online,0
CUST000233,38356,12,0.199,29,M,Self-employed,21250,Rented,333,0,0.03,916,4542,Education,South-South,Online,0
CUST000234,16615,6,0.292,51,F,Employed,43500,Family,119,0,0.019,415,16060,Business,North-Central,Online,0
CUST000235,475790,3,0.337,62,F,Employed,95685,Owned,149,1,0.559,57,10309,Education,North-East,Online,1
CUST000236,77707,12,0.345,31,M,Self-employed,48103,Owned,254,0,0.046,1104,8855,Business,North-Central,Online,0
CUST000237,3196,12,0.22,55,F,Employed,12173,Rented,114,1,0.005,1788,1812,Business,South-South,Branch,1
CUST000238,45421,12,0.318,33,M,Employed,56795,Rented,133,0,0.021,1617,681,Emergency,South-West,Online,0
CUST000239,16413,12,0.24,59,M,Employed,20236,Family,271,2,0.016,553,6406,Emergency,South-South,Agent,0
